[26/02/2007 20:12:22] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\isf\sportservices\websiteservice.asmx.cs:line 1588<br />   --- End of inner exception stack trace ---
[26/02/2007 20:12:35] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\isf\sportservices\websiteservice.asmx.cs:line 1588<br />   --- End of inner exception stack trace ---
[26/02/2007 20:12:43] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\isf\sportservices\websiteservice.asmx.cs:line 1588<br />   --- End of inner exception stack trace ---
[26/02/2007 20:12:46] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\isf\sportservices\websiteservice.asmx.cs:line 1588<br />   --- End of inner exception stack trace ---
[26/02/2007 20:12:50] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\isf\sportservices\websiteservice.asmx.cs:line 1588<br />   --- End of inner exception stack trace ---
[26/02/2007 20:12:59] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\isf\sportservices\websiteservice.asmx.cs:line 1588<br />   --- End of inner exception stack trace ---
[26/02/2007 20:13:05] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\isf\sportservices\websiteservice.asmx.cs:line 1588<br />   --- End of inner exception stack trace ---
[26/02/2007 20:43:56] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\isf\sportservices\websiteservice.asmx.cs:line 1588<br />   --- End of inner exception stack trace ---
[26/02/2007 20:44:05] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\isf\sportservices\websiteservice.asmx.cs:line 1588<br />   --- End of inner exception stack trace ---
[26/02/2007 20:44:11] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\isf\sportservices\websiteservice.asmx.cs:line 1588<br />   --- End of inner exception stack trace ---
